Plot,Replicate,CEMU,OXPE,GAAP,HYRA,EUPU,ELMA,DIMI,HEEC,ELGL,ANNU,PSBR,SOOL,SYSU,COSU,FEPE,SPSP,LEDI,EXCA,JUBU,EUSE,SIBE,BAPI,LYHY,ERCA,MESP,PSLU,POAN,POMO,ERCO,CEPA,HEGR,OXCO,ZEMU,EHER,FRSA,POAVDE,SPMA,POTE,CYER,LACO
PH1,C1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PH1,C2,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PH1,C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PH1,T1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,11,0,0,3,5,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
PH1,T2,0,0,0,0,0,0,0,0,0,0,4,1,3,4,0,4,0,0,49,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
PH1,T3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PH1,U1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PH1,U2,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,0,0,0,1,0,4,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
PH1,U3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,C2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,C3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,T1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MS,T2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,2,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MS,T3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,U1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,U2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,U3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RT,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RT,C2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RT,C3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RT,T1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
RT,T2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,1,0,3,0,0,0,24,0,0,0,0,1,0,0,0,0,0,0,0
RT,T3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,10,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
RT,U1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RT,U2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RT,U3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TP,C1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TP,C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
TP,C3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TP,T1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TP,T2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,0,0,33,0,1,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TP,T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TP,U1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TP,U2,0,0,0,0,0,0,0,0,0,0,0,2,2,9,0,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TP,U3,0,0,0,0,0,0,0,0,1,1,0,0,0,3,4,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WT1,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WT1,C2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WT1,C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WT1,T1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,2,0,3,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,2
WT1,T2,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,13,0,0,10,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1
WT1,T3,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WT1,U1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WT1,U2,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WT1,U3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
