Location,Plot,depth,size
north_parcel,CS,15,359.36
north_parcel,MS,16.5,160.07
north_parcel,PH1,16,173.13
north_parcel,RT,14,67.81
north_parcel,TP,18,79.45
north_parcel,WT1,16,432.89
north_parcel,WT2,17,424.18
